time,current_course,hear_website,hear_billboard,hear_television,hear_radio,hear_media,hear_community,hear_person,hear_employer,hear_current_student,hear_alumni,hear_high_school,scale_interest,interest_web,interest_cybersecurity,interest_apps,interest_analytics,interest_ai,interest_programming,interest_games,interest_hardware,gender
2024/09/16 4:07:09 PM AST,CMP 101 Computer Information Literacy,Yes,No,No,No,No,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,Woman
2024/09/12 11:31:56 AM AST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,2,Yes,Yes,Yes,No,No,No,Yes,No,Woman
2024/09/12 9:34:06 AM AST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,Yes,No,No,2,No,No,No,No,No,No,No,No,Woman
2024/09/12 11:32:42 AM AST,CMP 135 Computer Concepts with Applications,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,2,No,No,No,No,No,No,No,No,Woman
2024/09/12 8:15:35 PM AST,CMP 101 Computer Information Literacy,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Woman
2024/09/12 8:06:56 PM AST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,Yes,No,No,Yes,No,4,No,No,No,No,Yes,No,Yes,No,Woman
2024/09/12 8:06:11 PM AST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,Yes,No,Yes,No,No,3,No,No,No,No,No,No,No,No,Woman
2024/09/12 8:05:49 PM AST,CMP 135 Computer Concepts with Applications,Yes,No,No,No,No,No,No,No,No,No,No,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Woman
2024/09/12 8:05:42 PM AST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,Yes,No,Yes,No,Yes,1,No,No,No,No,No,No,No,No,Woman
2024/09/12 11:32:31 AM AST,CMP 135 Computer Concepts with Applications,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,2,No,No,No,Yes,No,No,No,No,Woman
2024/09/12 8:05:34 PM AST,CMP 135 Computer Concepts with Applications,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,1,No,No,No,No,No,No,No,No,Woman
2024/09/12 8:05:28 PM AST,CMP 135 Computer Concepts with Applications,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,5,Yes,No,No,No,Yes,Yes,No,No,Woman
2024/09/12 8:05:15 PM AST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,Yes,2,No,No,No,No,Yes,No,No,No,Woman
